"Step","summer-firefly-1 - train_accuracy","summer-firefly-1 - train_accuracy__MIN","summer-firefly-1 - train_accuracy__MAX","summer-firefly-1 - val_accuracy","summer-firefly-1 - val_accuracy__MIN","summer-firefly-1 - val_accuracy__MAX"
"1","0.5324324324324323","0.5324324324324323","0.5324324324324323","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"3","0.5308108108108108","0.5308108108108108","0.5308108108108108","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"5","0.5348648648648647","0.5348648648648647","0.5348648648648647","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"7","0.5321621621621621","0.5321621621621621","0.5321621621621621","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"9","0.5335135135135136","0.5335135135135136","0.5335135135135136","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"11","0.5372972972972974","0.5372972972972974","0.5372972972972974","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"13","0.5405405405405406","0.5405405405405406","0.5405405405405406","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"15","0.5427027027027027","0.5427027027027027","0.5427027027027027","0.5","0.5","0.5"
"17","0.5427027027027026","0.5427027027027026","0.5427027027027026","0.5100000000000001","0.5100000000000001","0.5100000000000001"
"19","0.5416216216216216","0.5416216216216216","0.5416216216216216","0.5","0.5","0.5"
"21","0.5432432432432432","0.5432432432432432","0.5432432432432432","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"23","0.544864864864865","0.544864864864865","0.544864864864865","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"25","0.5416216216216218","0.5416216216216218","0.5416216216216218","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"27","0.5456756756756758","0.5456756756756758","0.5456756756756758","0.53","0.53","0.53"
"29","0.5470270270270271","0.5470270270270271","0.5470270270270271","0.53","0.53","0.53"
"31","0.5483783783783786","0.5483783783783786","0.5483783783783786","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"33","0.547837837837838","0.547837837837838","0.547837837837838","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"35","0.5489189189189191","0.5489189189189191","0.5489189189189191","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"37","0.545945945945946","0.545945945945946","0.545945945945946","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"39","0.5499999999999998","0.5499999999999998","0.5499999999999998","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"41","0.5467567567567567","0.5467567567567567","0.5467567567567567","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"43","0.5508108108108108","0.5508108108108108","0.5508108108108108","0.59","0.59","0.59"
"45","0.5494594594594595","0.5494594594594595","0.5494594594594595","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"47","0.552972972972973","0.552972972972973","0.552972972972973","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"49","0.5524324324324325","0.5524324324324325","0.5524324324324325","0.59","0.59","0.59"
"51","0.5521621621621622","0.5521621621621622","0.5521621621621622","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"53","0.5551351351351352","0.5551351351351352","0.5551351351351352","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"55","0.5527027027027027","0.5527027027027027","0.5527027027027027","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"57","0.5521621621621622","0.5521621621621622","0.5521621621621622","0.63","0.63","0.63"
"59","0.5562162162162163","0.5562162162162163","0.5562162162162163","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"61","0.554054054054054","0.554054054054054","0.554054054054054","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"63","0.5567567567567568","0.5567567567567568","0.5567567567567568","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"65","0.555945945945946","0.555945945945946","0.555945945945946","0.59","0.59","0.59"
"67","0.5556756756756757","0.5556756756756757","0.5556756756756757","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"69","0.5540540540540541","0.5540540540540541","0.5540540540540541","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"71","0.5583783783783783","0.5583783783783783","0.5583783783783783","0.62","0.62","0.62"
"73","0.5583783783783784","0.5583783783783784","0.5583783783783784","0.63","0.63","0.63"
"75","0.5581081081081083","0.5581081081081083","0.5581081081081083","0.63","0.63","0.63"
"77","0.5597297297297298","0.5597297297297298","0.5597297297297298","0.62","0.62","0.62"
"79","0.5554054054054054","0.5554054054054054","0.5554054054054054","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"81","0.5570270270270271","0.5570270270270271","0.5570270270270271","0.63","0.63","0.63"
"83","0.5610810810810812","0.5610810810810812","0.5610810810810812","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"85","0.5594594594594595","0.5594594594594595","0.5594594594594595","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"87","0.5600000000000002","0.5600000000000002","0.5600000000000002","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"89","0.5637837837837838","0.5637837837837838","0.5637837837837838","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"91","0.5594594594594594","0.5594594594594594","0.5594594594594594","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"93","0.5602702702702704","0.5602702702702704","0.5602702702702704","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"95","0.5651351351351351","0.5651351351351351","0.5651351351351351","0.62","0.62","0.62"
"97","0.5635135135135136","0.5635135135135136","0.5635135135135136","0.63","0.63","0.63"
"99","0.5618918918918918","0.5618918918918918","0.5618918918918918","0.63","0.63","0.63"
"101","0.5635135135135134","0.5635135135135134","0.5635135135135134","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"103","0.5708108108108109","0.5708108108108109","0.5708108108108109","0.59","0.59","0.59"
"105","0.5621621621621621","0.5621621621621621","0.5621621621621621","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"107","0.5624324324324326","0.5624324324324326","0.5624324324324326","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"109","0.5597297297297299","0.5597297297297299","0.5597297297297299","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"111","0.5645945945945946","0.5645945945945946","0.5645945945945946","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"113","0.5683783783783783","0.5683783783783783","0.5683783783783783","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"115","0.5662162162162162","0.5662162162162162","0.5662162162162162","0.62","0.62","0.62"
"117","0.5627027027027027","0.5627027027027027","0.5627027027027027","0.59","0.59","0.59"
"119","0.5645945945945945","0.5645945945945945","0.5645945945945945","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"121","0.5654054054054054","0.5654054054054054","0.5654054054054054","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"123","0.5678378378378378","0.5678378378378378","0.5678378378378378","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"125","0.5681081081081082","0.5681081081081082","0.5681081081081082","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"127","0.5654054054054054","0.5654054054054054","0.5654054054054054","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"129","0.5645945945945948","0.5645945945945948","0.5645945945945948","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"131","0.5686486486486486","0.5686486486486486","0.5686486486486486","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"133","0.5691891891891893","0.5691891891891893","0.5691891891891893","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"135","0.5691891891891889","0.5691891891891889","0.5691891891891889","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"137","0.5672972972972972","0.5672972972972972","0.5672972972972972","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"139","0.5694594594594594","0.5694594594594594","0.5694594594594594","0.59","0.59","0.59"
"141","0.5686486486486486","0.5686486486486486","0.5686486486486486","0.59","0.59","0.59"
"143","0.5681081081081082","0.5681081081081082","0.5681081081081082","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"145","0.5713513513513515","0.5713513513513515","0.5713513513513515","0.59","0.59","0.59"
"147","0.5751351351351351","0.5751351351351351","0.5751351351351351","0.59","0.59","0.59"
"149","0.5686486486486487","0.5686486486486487","0.5686486486486487","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"151","0.571081081081081","0.571081081081081","0.571081081081081","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"153","0.5754054054054055","0.5754054054054055","0.5754054054054055","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"155","0.5710810810810811","0.5710810810810811","0.5710810810810811","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"157","0.5764864864864865","0.5764864864864865","0.5764864864864865","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"159","0.5735135135135134","0.5735135135135134","0.5735135135135134","0.59","0.59","0.59"
"161","0.5724324324324324","0.5724324324324324","0.5724324324324324","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"163","0.571891891891892","0.571891891891892","0.571891891891892","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"165","0.5786486486486485","0.5786486486486485","0.5786486486486485","0.59","0.59","0.59"
"167","0.5754054054054052","0.5754054054054052","0.5754054054054052","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"169","0.5762162162162162","0.5762162162162162","0.5762162162162162","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"171","0.5764864864864865","0.5764864864864865","0.5764864864864865","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"173","0.5789189189189188","0.5789189189189188","0.5789189189189188","0.59","0.59","0.59"
"175","0.5745945945945945","0.5745945945945945","0.5745945945945945","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"177","0.5789189189189191","0.5789189189189191","0.5789189189189191","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"179","0.572972972972973","0.572972972972973","0.572972972972973","0.59","0.59","0.59"
"181","0.5783783783783784","0.5783783783783784","0.5783783783783784","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"183","0.5767567567567566","0.5767567567567566","0.5767567567567566","0.59","0.59","0.59"
"185","0.5775675675675676","0.5775675675675676","0.5775675675675676","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"187","0.5770270270270269","0.5770270270270269","0.5770270270270269","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"189","0.5751351351351351","0.5751351351351351","0.5751351351351351","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"191","0.5840540540540541","0.5840540540540541","0.5840540540540541","0.59","0.59","0.59"
"193","0.5778378378378376","0.5778378378378376","0.5778378378378376","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"195","0.5732432432432432","0.5732432432432432","0.5732432432432432","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"197","0.5740540540540542","0.5740540540540542","0.5740540540540542","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"199","0.5732432432432432","0.5732432432432432","0.5732432432432432","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"201","0.581081081081081","0.581081081081081","0.581081081081081","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"203","0.585945945945946","0.585945945945946","0.585945945945946","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"205","0.5851351351351353","0.5851351351351353","0.5851351351351353","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"207","0.5848648648648649","0.5848648648648649","0.5848648648648649","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"209","0.5878378378378379","0.5878378378378379","0.5878378378378379","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"211","0.5818918918918916","0.5818918918918916","0.5818918918918916","0.5399999999999995","0.5399999999999995","0.5399999999999995"
"213","0.5910810810810809","0.5910810810810809","0.5910810810810809","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"215","0.5867567567567568","0.5867567567567568","0.5867567567567568","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"217","0.5878378378378377","0.5878378378378377","0.5878378378378377","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"219","0.5845945945945946","0.5845945945945946","0.5845945945945946","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"221","0.5897297297297296","0.5897297297297296","0.5897297297297296","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"223","0.5948648648648647","0.5948648648648647","0.5948648648648647","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"225","0.5875675675675676","0.5875675675675676","0.5875675675675676","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"227","0.5902702702702701","0.5902702702702701","0.5902702702702701","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"229","0.592162162162162","0.592162162162162","0.592162162162162","0.59","0.59","0.59"
"231","0.5954054054054053","0.5954054054054053","0.5954054054054053","0.59","0.59","0.59"
"233","0.5921621621621622","0.5921621621621622","0.5921621621621622","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"235","0.5970270270270269","0.5970270270270269","0.5970270270270269","0.63","0.63","0.63"
"237","0.5991891891891888","0.5991891891891888","0.5991891891891888","0.63","0.63","0.63"
"239","0.6002702702702702","0.6002702702702702","0.6002702702702702","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"241","0.6010810810810813","0.6010810810810813","0.6010810810810813","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"243","0.5970270270270268","0.5970270270270268","0.5970270270270268","0.6099999999999998","0.6099999999999998","0.6099999999999998"
"245","0.5986486486486484","0.5986486486486484","0.5986486486486484","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"247","0.6008108108108108","0.6008108108108108","0.6008108108108108","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"249","0.5975675675675675","0.5975675675675675","0.5975675675675675","0.59","0.59","0.59"
"251","0.598918918918919","0.598918918918919","0.598918918918919","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"253","0.6005405405405406","0.6005405405405406","0.6005405405405406","0.59","0.59","0.59"
"255","0.5999999999999996","0.5999999999999996","0.5999999999999996","0.59","0.59","0.59"
"257","0.6024324324324324","0.6024324324324324","0.6024324324324324","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"259","0.6000000000000001","0.6000000000000001","0.6000000000000001","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"261","0.6032432432432433","0.6032432432432433","0.6032432432432433","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"263","0.6040540540540538","0.6040540540540538","0.6040540540540538","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"265","0.6035135135135135","0.6035135135135135","0.6035135135135135","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"267","0.6032432432432433","0.6032432432432433","0.6032432432432433","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"269","0.6091891891891893","0.6091891891891893","0.6091891891891893","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"271","0.618108108108108","0.618108108108108","0.618108108108108","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"273","0.6127027027027026","0.6127027027027026","0.6127027027027026","0.5599999999999999","0.5599999999999999","0.5599999999999999"
"275","0.6091891891891894","0.6091891891891894","0.6091891891891894","0.5500000000000004","0.5500000000000004","0.5500000000000004"
"277","0.6064864864864865","0.6064864864864865","0.6064864864864865","0.5700000000000002","0.5700000000000002","0.5700000000000002"
"279","0.6162162162162161","0.6162162162162161","0.6162162162162161","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"281","0.6062162162162161","0.6062162162162161","0.6062162162162161","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"283","0.61027027027027","0.61027027027027","0.61027027027027","0.5799999999999995","0.5799999999999995","0.5799999999999995"
"285","0.6097297297297297","0.6097297297297297","0.6097297297297297","0.59","0.59","0.59"
"287","0.617027027027027","0.617027027027027","0.617027027027027","0.6000000000000003","0.6000000000000003","0.6000000000000003"
"289","0.615945945945946","0.615945945945946","0.615945945945946","0.63","0.63","0.63"
"291","0.6108108108108108","0.6108108108108108","0.6108108108108108","0.6400000000000002","0.6400000000000002","0.6400000000000002"
"293","0.614054054054054","0.614054054054054","0.614054054054054","0.62","0.62","0.62"
"295","0.6162162162162161","0.6162162162162161","0.6162162162162161","0.66","0.66","0.66"
"297","0.6175675675675674","0.6175675675675674","0.6175675675675674","0.6700000000000006","0.6700000000000006","0.6700000000000006"
"299","0.6181081081081081","0.6181081081081081","0.6181081081081081","0.6700000000000006","0.6700000000000006","0.6700000000000006"
"301","0.6129729729729729","0.6129729729729729","0.6129729729729729","0.6799999999999998","0.6799999999999998","0.6799999999999998"
"303","0.6167567567567567","0.6167567567567567","0.6167567567567567","0.6799999999999998","0.6799999999999998","0.6799999999999998"
"305","0.6102702702702703","0.6102702702702703","0.6102702702702703","0.6799999999999998","0.6799999999999998","0.6799999999999998"
"307","0.6164864864864864","0.6164864864864864","0.6164864864864864","0.6900000000000002","0.6900000000000002","0.6900000000000002"
"309","0.6186486486486488","0.6186486486486488","0.6186486486486488","0.6799999999999998","0.6799999999999998","0.6799999999999998"
"311","0.6186486486486489","0.6186486486486489","0.6186486486486489","0.6900000000000002","0.6900000000000002","0.6900000000000002"
"313","0.6286486486486484","0.6286486486486484","0.6286486486486484","0.6900000000000002","0.6900000000000002","0.6900000000000002"
"315","0.6205405405405405","0.6205405405405405","0.6205405405405405","0.6900000000000002","0.6900000000000002","0.6900000000000002"
"317","0.6259459459459459","0.6259459459459459","0.6259459459459459","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"319","0.6275675675675674","0.6275675675675674","0.6275675675675674","0.7100000000000005","0.7100000000000005","0.7100000000000005"
"321","0.6378378378378379","0.6378378378378379","0.6378378378378379","0.7100000000000005","0.7100000000000005","0.7100000000000005"
"323","0.6297297297297297","0.6297297297297297","0.6297297297297297","0.6999999999999996","0.6999999999999996","0.6999999999999996"
"325","0.6337837837837837","0.6337837837837837","0.6337837837837837","0.6900000000000002","0.6900000000000002","0.6900000000000002"
"327","0.6340540540540539","0.6340540540540539","0.6340540540540539","0.6999999999999996","0.6999999999999996","0.6999999999999996"
"329","0.6310810810810811","0.6310810810810811","0.6310810810810811","0.7100000000000005","0.7100000000000005","0.7100000000000005"
"331","0.6375675675675676","0.6375675675675676","0.6375675675675676","0.6999999999999996","0.6999999999999996","0.6999999999999996"
"333","0.6405405405405405","0.6405405405405405","0.6405405405405405","0.7199999999999998","0.7199999999999998","0.7199999999999998"
"335","0.6343243243243243","0.6343243243243243","0.6343243243243243","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"337","0.6356756756756756","0.6356756756756756","0.6356756756756756","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"339","0.6391891891891892","0.6391891891891892","0.6391891891891892","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"341","0.6402702702702703","0.6402702702702703","0.6402702702702703","0.7199999999999998","0.7199999999999998","0.7199999999999998"
"343","0.6408108108108108","0.6408108108108108","0.6408108108108108","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"345","0.6505405405405406","0.6505405405405406","0.6505405405405406","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"347","0.6483783783783783","0.6483783783783783","0.6483783783783783","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"349","0.6513513513513515","0.6513513513513515","0.6513513513513515","0.8099999999999996","0.8099999999999996","0.8099999999999996"
"351","0.6510810810810812","0.6510810810810812","0.6510810810810812","0.7899999999999995","0.7899999999999995","0.7899999999999995"
"353","0.6510810810810812","0.6510810810810812","0.6510810810810812","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"355","0.652162162162162","0.652162162162162","0.652162162162162","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"357","0.6586486486486488","0.6586486486486488","0.6586486486486488","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"359","0.6456756756756757","0.6456756756756757","0.6456756756756757","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"361","0.6562162162162164","0.6562162162162164","0.6562162162162164","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"363","0.6564864864864866","0.6564864864864866","0.6564864864864866","0.75","0.75","0.75"
"365","0.6543243243243243","0.6543243243243243","0.6543243243243243","0.7199999999999998","0.7199999999999998","0.7199999999999998"
"367","0.6505405405405406","0.6505405405405406","0.6505405405405406","0.6799999999999998","0.6799999999999998","0.6799999999999998"
"369","0.6559459459459459","0.6559459459459459","0.6559459459459459","0.7100000000000005","0.7100000000000005","0.7100000000000005"
"371","0.6562162162162164","0.6562162162162164","0.6562162162162164","0.6999999999999996","0.6999999999999996","0.6999999999999996"
"373","0.6651351351351352","0.6651351351351352","0.6651351351351352","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"375","0.6556756756756758","0.6556756756756758","0.6556756756756758","0.7300000000000003","0.7300000000000003","0.7300000000000003"
"377","0.6743243243243243","0.6743243243243243","0.6743243243243243","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"379","0.6737837837837837","0.6737837837837837","0.6737837837837837","0.75","0.75","0.75"
"381","0.6716216216216218","0.6716216216216218","0.6716216216216218","0.75","0.75","0.75"
"383","0.6772972972972975","0.6772972972972975","0.6772972972972975","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"385","0.678108108108108","0.678108108108108","0.678108108108108","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"387","0.6756756756756755","0.6756756756756755","0.6756756756756755","0.75","0.75","0.75"
"389","0.6751351351351349","0.6751351351351349","0.6751351351351349","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"391","0.6781081081081083","0.6781081081081083","0.6781081081081083","0.7899999999999995","0.7899999999999995","0.7899999999999995"
"393","0.6835135135135137","0.6835135135135137","0.6835135135135137","0.7899999999999995","0.7899999999999995","0.7899999999999995"
