Epoch,lunar-surf-1 - train_accuracy__MAX,lunar-surf-1 - val_accuracy__MAX
1,0.531621622,0.56
2,0.530540541,0.6
3,0.537297297,0.63
4,0.544324324,0.61
5,0.544324324,0.6
6,0.545675676,0.61
7,0.55027027,0.59
8,0.550810811,0.56
9,0.551351351,0.55
10,0.552702703,0.55
11,0.556756757,0.54
12,0.56,0.56
13,0.564864865,0.55
14,0.564594595,0.55
15,0.564324324,0.55
16,0.568378378,0.54
17,0.568648649,0.57
18,0.570810811,0.56
19,0.566756757,0.55
20,0.577027027,0.56
21,0.57,0.56
22,0.571891892,0.54
23,0.574864865,0.55
24,0.575405405,0.55
25,0.576756757,0.54
26,0.571351351,0.54
27,0.575405405,0.54
28,0.581081081,0.55
29,0.57972973,0.54
30,0.578918919,0.55
31,0.575675676,0.54
32,0.577837838,0.54
33,0.577297297,0.53
34,0.585675676,0.53
35,0.581621622,0.52
36,0.581621622,0.56
37,0.576216216,0.53
38,0.584594595,0.54
39,0.584324324,0.53
40,0.581891892,0.53
41,0.587027027,0.52
42,0.582702703,0.51
43,0.584324324,0.5
44,0.578648649,0.5
45,0.585675676,0.52
46,0.588918919,0.52
47,0.585675676,0.52
48,0.585675676,0.51
49,0.586486486,0.53
50,0.585945946,0.54
51,0.588918919,0.55
52,0.58972973,0.55
53,0.595135135,0.55
54,0.591891892,0.55
55,0.588918919,0.54
56,0.588378378,0.54
57,0.596486486,0.54
58,0.595675676,0.56
59,0.590810811,0.56
60,0.594054054,0.56
61,0.602162162,0.56
62,0.603513514,0.55
63,0.603513514,0.57
64,0.602702703,0.58
65,0.602432432,0.59
66,0.604054054,0.62
67,0.607837838,0.62
68,0.605945946,0.61
69,0.605405405,0.61
70,0.60972973,0.62
71,0.614864865,0.62
72,0.61972973,0.62
73,0.619189189,0.63
74,0.618378378,0.63
75,0.61972973,0.63
76,0.621351351,0.62
77,0.63,0.65
78,0.626486486,0.63
79,0.626216216,0.67
80,0.628108108,0.67
81,0.631351351,0.7
82,0.634054054,0.71
83,0.655945946,0.7
84,0.652702703,0.73
85,0.669189189,0.74
86,0.68027027,0.74
87,0.683513514,0.75
88,0.688378378,0.72
89,0.688648649,0.73
90,0.700810811,0.73
91,0.724054054,0.77
92,0.72972973,0.77
93,0.738108108,0.78
94,0.751081081,0.78
95,0.763783784,0.78
96,0.771351351,0.78
97,0.782432432,0.8
98,0.797567568,0.79
99,0.80027027,0.82
100,0.811081081,0.84
101,0.810810811,0.83
102,0.819459459,0.81
103,0.831621622,0.82
104,0.843783784,0.81
105,0.851081081,0.82
106,0.84972973,0.81
107,0.866216216,0.83
108,0.863243243,0.84
109,0.871081081,0.88
110,0.882162162,0.89
111,0.888918919,0.89
112,0.892702703,0.87
113,0.891621622,0.89
114,0.901351351,0.9
115,0.905135135,0.91
116,0.912432432,0.89
117,0.904324324,0.9
118,0.904054054,0.92
119,0.907837838,0.93
120,0.908918919,0.92
121,0.911351351,0.92
122,0.91027027,0.93
123,0.913513514,0.9
124,0.917837838,0.93
125,0.922702703,0.94
126,0.933513514,0.98
127,0.933783784,0.99
128,0.934324324,0.97
129,0.942972973,0.96
130,0.940810811,0.97
131,0.943243243,0.96
132,0.944324324,0.96
133,0.945405405,0.97
134,0.948918919,0.98
135,0.948378378,0.98
136,0.950810811,0.98
137,0.954594595,0.99
138,0.952702703,0.98
139,0.952162162,0.98
140,0.952702703,0.97
141,0.954594595,0.98
142,0.959189189,0.99
143,0.958378378,0.99
144,0.955675676,1
145,0.959459459,1
146,0.962972973,1
147,0.963783784,1
148,0.964324324,1
149,0.965945946,1
150,0.965135135,1
151,0.961081081,1
152,0.959189189,1
153,0.965405405,1
154,0.968108108,1
155,0.97027027,1
156,0.968378378,1
157,0.972432432,1
158,0.972972973,1
159,0.969459459,1
160,0.971351351,1
161,0.972972973,1
162,0.971081081,1
163,0.977297297,1
164,0.976756757,1
165,0.974324324,1
166,0.978918919,1
167,0.977837838,1
168,0.977567568,1
169,0.977567568,1
170,0.97972973,1
171,0.982162162,1
172,0.977297297,1
173,0.979459459,1
174,0.981351351,1
175,0.981891892,1
176,0.980540541,1
177,0.982162162,1
178,0.983783784,1
179,0.982972973,1
180,0.982702703,1
181,0.981891892,1
182,0.982432432,1
183,0.982162162,1
184,0.982702703,1
185,0.984864865,1
186,0.984324324,1
187,0.984054054,1
188,0.982162162,1
189,0.982972973,1
190,0.986486486,1
191,0.987027027,1
192,0.987297297,1
193,0.986486486,1
194,0.987297297,1
195,0.987297297,1
196,0.987297297,1
197,0.987297297,1
198,0.987297297,1
199,0.987567568,1
200,0.988378378,1
201,0.989189189,1
202,0.988918919,1
203,0.988648649,1
204,0.989189189,1
205,0.988648649,1
206,0.99,1
207,0.98972973,1
208,0.99,1
209,0.98972973,1
210,0.99,1
211,0.98972973,1
212,0.99027027,1
213,0.989459459,1
214,0.98972973,1
215,0.990540541,1
216,0.99,1
217,0.990540541,1
218,0.99,1
219,0.990540541,1
220,0.990540541,1
221,0.99,1
222,0.991351351,1
223,0.991081081,1
224,0.99027027,1
225,0.99027027,1
226,0.99,1
227,0.991081081,1
228,0.991081081,1
229,0.991081081,1
230,0.990810811,1
231,0.990540541,1
232,0.991351351,1
233,0.991621622,1
234,0.990540541,1
235,0.991081081,1
236,0.991081081,1
237,0.990810811,1
238,0.990540541,1
239,0.991891892,1
240,0.991621622,1
241,0.991621622,1
242,0.991351351,1
243,0.992972973,1
244,0.992432432,1
245,0.992162162,1
246,0.992972973,1
247,0.991621622,1
248,0.993783784,1
249,0.993783784,1
250,0.992702703,1
251,0.992972973,1
252,0.991891892,1
253,0.992702703,1
254,0.994054054,1
255,0.992972973,1
256,0.993243243,1
257,0.991081081,1
258,0.993513514,1
259,0.993243243,1
260,0.994054054,1
261,0.993783784,1
262,0.992702703,1
263,0.994864865,1
264,0.994864865,1
265,0.994054054,1
266,0.994864865,1
267,0.995135135,1
268,0.995675676,1
269,0.996486486,1
270,0.994594595,1
271,0.994864865,1
272,0.995405405,1
273,0.993783784,1
274,0.997027027,1
275,0.994324324,1
276,0.994594595,1
277,0.994864865,1
278,0.996216216,1
279,0.995405405,1
280,0.993783784,1
281,0.994324324,1
282,0.994864865,1
283,0.996756757,1
284,0.995135135,1
285,0.995135135,1
286,0.995135135,1
287,0.996756757,1
288,0.996756757,1
289,0.995945946,1
290,0.995945946,1
291,0.997297297,1
292,0.996216216,1
293,0.996216216,1
294,0.994324324,1
295,0.996756757,1
296,0.995675676,1
297,0.996486486,1
298,0.995675676,1
299,0.997027027,1
300,0.997297297,1
301,0.997297297,1
302,0.996756757,1
303,0.997297297,1
304,0.997837838,1
305,0.997027027,1
306,0.998378378,1
307,0.996756757,1
308,0.997027027,1
309,0.998378378,1
310,0.998648649,1
311,0.998108108,1
312,0.998108108,1
313,0.996486486,1
314,0.997567568,1
315,0.997027027,1
316,0.997297297,1
317,0.998108108,1
318,0.997297297,1
319,0.997297297,1
320,0.997567568,1
321,0.995135135,1
322,0.995945946,1
323,0.996756757,1
324,0.997837838,1
325,0.996486486,1
326,0.998378378,1
327,0.997567568,1
328,0.998648649,1
329,0.997567568,1
330,0.999459459,1
331,0.998378378,1
332,0.999459459,1
333,0.997837838,1
334,0.997567568,1
335,0.998918919,1
336,0.997297297,1
337,0.997567568,1
338,0.998378378,1
339,0.998378378,1
340,0.997567568,1
341,0.996756757,1
342,0.998648649,1
343,0.998108108,1
344,0.998648649,1
345,0.996756757,1
346,0.998378378,1
347,0.998378378,1
348,0.998648649,1
349,0.998108108,1
350,0.997837838,1
351,0.997567568,1
352,0.998648649,1
353,0.996756757,1
354,0.998648649,1
355,0.998378378,1
356,0.999189189,1
357,0.998648649,1
358,0.997837838,1
359,0.999189189,1
360,0.998108108,1
361,0.997837838,1
362,0.99972973,1
363,0.998918919,1
364,0.998648649,1
365,0.99972973,1
366,0.998378378,1
367,0.999459459,1
368,0.999189189,1
369,0.997567568,1
370,0.998648649,1
371,0.999459459,1
372,0.998648649,1
373,0.998378378,1
374,0.998378378,1
375,0.998108108,1
376,0.999459459,1
377,0.998378378,1
378,0.998648649,1
379,0.99972973,1
380,0.998108108,1
381,0.998108108,1
382,0.998378378,1
383,0.999459459,1
384,0.999189189,1
385,0.999459459,1
386,0.998918919,1
387,0.99972973,1
388,0.999459459,1
389,1,1
390,0.998378378,1
391,0.999189189,1
392,0.998918919,1
393,0.999459459,1
394,0.999459459,1
395,0.999459459,1
396,0.99972973,1
397,0.999459459,1
398,0.99972973,1
399,0.999189189,1
400,0.99972973,1
401,0.99972973,1
402,0.999189189,1
403,0.999189189,1
404,0.999459459,1
405,0.999189189,1
406,0.99972973,1
407,0.999459459,1
408,0.998918919,1
409,0.999189189,1
410,0.999459459,1
411,0.999459459,1
412,1,1
413,0.998648649,1
414,0.999459459,1
415,0.99972973,1
416,0.999459459,1
417,0.99972973,1
418,0.99972973,1
419,0.99972973,1
420,0.99972973,1
421,0.999189189,1
422,0.999189189,1
423,0.99972973,1
424,1,1
425,0.99972973,1
426,0.99972973,1
427,0.998378378,1
428,0.999189189,1
429,0.999459459,1
430,1,1
431,0.99972973,1
432,1,1
433,0.999189189,1
434,0.998918919,1
435,0.99972973,1
436,0.999189189,1
437,1,1
438,1,1
439,0.99972973,1
440,0.99972973,1
441,0.99972973,1
442,0.99972973,1
443,1,1
444,0.99972973,1
445,0.999189189,1
446,0.99972973,1
447,1,1
448,0.99972973,1
449,0.999459459,1
450,0.99972973,1
451,0.999189189,1
452,0.99972973,1
453,1,1
454,0.99972973,1
455,1,1
456,1,1
457,0.99972973,1
458,0.99972973,1
459,0.999459459,1
460,0.99972973,1
461,0.99972973,1
462,1,1
463,0.99972973,1
464,1,1
465,0.99972973,1
466,1,1
467,0.99972973,1
468,0.99972973,1
469,0.999459459,1
470,0.99972973,1
471,0.99972973,1
472,1,1
473,0.99972973,1
474,0.99972973,1
475,1,1
476,0.99972973,1
477,1,1
478,0.999189189,1
479,1,1
480,0.99972973,1
481,1,1
482,0.999189189,1
483,1,1
484,1,1
485,1,1
486,1,1
487,1,1
488,0.999189189,1
489,0.99972973,1
490,0.99972973,1
491,1,1
492,0.99972973,1
493,1,1
494,0.999459459,1
495,1,1
496,1,1
497,1,1
498,1,1
499,1,1
500,1,1
501,1,1
502,0.99972973,1
503,0.99972973,1
504,1,1
505,1,1
506,0.99972973,1
507,0.99972973,1
508,1,1
509,1,1
510,0.99972973,1
511,0.999459459,1
512,1,1
513,0.99972973,1
514,1,1
515,1,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,1,1
526,1,1
527,0.99972973,1
528,1,1
529,0.99972973,1
530,0.999459459,1
531,1,1
532,0.99972973,1
533,0.99972973,1
534,1,1
535,0.99972973,1
536,1,1
537,0.999459459,1
538,1,1
539,0.99972973,1
540,1,1
541,0.99972973,1
542,0.99972973,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,1
548,1,1
549,0.99972973,1
550,1,1
551,1,1
552,1,1
553,0.99972973,1
554,1,1
555,1,1
556,0.99972973,1
557,1,1
558,1,1
559,1,1
560,1,1
561,0.99972973,1
562,1,1
563,0.99972973,1
564,1,1
565,1,1
566,0.99972973,1
567,1,1
568,1,1
569,1,1
570,1,1
571,1,1
572,0.999459459,1
573,1,1
574,1,1
575,1,1
576,0.99972973,1
577,0.99972973,1
578,1,1
579,1,1
580,1,1
581,1,1
582,1,1
583,0.99972973,1
584,1,1
585,1,1
586,1,1
587,1,1
588,1,1
589,0.99972973,1
590,1,1
591,0.99972973,1
592,1,1
593,0.99972973,1
594,0.99972973,1
595,1,1
596,1,1
597,0.99972973,1
598,1,1
599,0.99972973,1
600,0.99972973,1
601,1,1
602,0.99972973,1
603,1,1
604,1,1
605,1,1
606,0.99972973,1
607,1,1
608,0.99972973,1
609,0.99972973,1
610,1,1
611,1,1
612,1,1
613,0.99972973,1
614,1,1
615,1,1
616,1,1
617,0.99972973,1
618,1,1
619,1,1
620,1,1
621,1,1
622,0.99972973,1
623,1,1
624,0.99972973,1
625,1,1
626,1,1
627,0.99972973,1
628,1,1
629,1,1
630,1,1
631,1,1
632,1,1
633,0.99972973,1
634,1,1
635,1,1
636,1,1
637,1,1
638,1,1
639,1,1
640,1,1
641,1,1
642,1,1
643,1,1
644,1,1
645,1,1
646,1,1
647,1,1
648,0.99972973,1
649,1,1
650,1,1
651,1,1
652,1,1
653,0.99972973,1
654,1,1
655,1,1
656,1,1
657,1,1
658,1,1
659,0.99972973,1
660,1,1
661,1,1
662,1,1
663,1,1
664,1,1
665,1,1
666,1,1
667,1,1
668,1,1
669,0.99972973,1
670,1,1
671,1,1
672,1,1
673,1,1
674,1,1
675,1,1
676,0.999459459,1
677,1,1
678,0.99972973,1
679,1,1
680,1,1
681,1,1
682,1,1
683,1,1
684,1,1
685,1,1
686,1,1
687,1,1
688,1,1
689,0.999459459,1
690,0.99972973,1
691,1,1
692,1,1
693,1,1
694,1,1
695,1,1
696,1,1
697,1,1
698,1,1
699,1,1
700,0.999459459,1
701,1,1
702,1,1
703,1,1
704,1,1
705,1,1
706,1,1
707,1,1
708,1,1
709,1,1
710,0.999459459,1
711,1,1
712,1,1
713,1,1
714,1,1
715,0.99972973,1
716,1,1
717,0.99972973,1
718,1,1
719,1,1
720,1,1
721,0.999459459,1
722,1,1
723,1,1
724,1,1
725,1,1
726,0.99972973,1
727,1,1
728,1,1
729,1,1
730,0.99972973,1
731,1,1
732,0.99972973,1
733,1,1
734,1,1
735,0.99972973,1
736,1,1
737,1,1
738,1,1
739,1,1
740,1,1
741,0.99972973,1
742,1,1
743,0.99972973,1
744,0.99972973,1
745,0.99972973,1
746,1,1
747,1,1
748,1,1
749,1,1
750,1,1
751,0.99972973,1
752,1,1
753,1,1
754,1,1
755,1,1
756,0.99972973,1
757,0.99972973,1
758,1,1
759,1,1
760,1,1
761,1,1
762,1,1
763,0.99972973,1
764,1,1
765,1,1
766,1,1
767,1,1
768,1,1
769,1,1
770,1,1
771,1,1
772,1,1
773,1,1
774,1,1
775,1,1
776,1,1
777,1,1
778,0.99972973,1
779,1,1
780,1,1
781,1,1
782,1,1
783,0.99972973,1
784,1,1
785,1,1
786,1,1
787,0.99972973,1
788,1,1
789,1,1
790,0.99972973,1
791,1,1
792,1,1
793,0.99972973,1
794,1,1
795,0.99972973,1
796,1,1
797,1,1
798,0.99972973,1
799,1,1
800,1,1
801,0.99972973,1
802,1,1
803,0.99972973,1
804,1,1
805,1,1
806,0.99972973,1
807,1,1
808,1,1
809,1,1
810,1,1
811,1,1
812,0.999459459,1
813,1,1
814,1,1
815,1,1
816,1,1
817,0.99972973,1
818,0.99972973,1
819,1,1
820,1,1
821,1,1
822,1,1
823,1,1
824,1,1
825,1,1
826,1,1
827,1,1
828,1,1
829,1,1
830,0.99972973,1
831,1,1
832,1,1
833,0.99972973,1
834,1,1
835,0.99972973,1
836,0.99972973,1
837,1,1
838,0.99972973,1
839,1,1
840,1,1
841,1,1
842,1,1
843,1,1
844,1,1
845,1,1
846,1,1
847,1,1
848,1,1
849,1,1
850,1,1
851,0.99972973,1
852,1,1
853,0.99972973,1
854,1,1
855,1,1
856,1,1
857,1,1
858,0.99972973,1
859,1,1
860,0.999459459,1
861,1,1
862,1,1
863,1,1
864,1,1
865,1,1
866,0.99972973,1
867,1,1
868,1,1
869,1,1
870,1,1
871,0.99972973,1
872,1,1
873,0.99972973,1
874,0.99972973,1
875,1,1
876,1,1
877,0.99972973,1
878,1,1
879,1,1
880,1,1
881,1,1
882,1,1
883,0.99972973,1
884,1,1
885,0.99972973,1
886,1,1
887,1,1
888,1,1
889,0.99972973,1
890,1,1
891,1,1
892,0.99972973,1
893,0.99972973,1
894,1,1
895,0.99972973,1
896,1,1
897,1,1
898,1,1
899,0.99972973,1
900,0.99972973,1
901,1,1
902,1,1
903,1,1
904,1,1
905,1,1
906,1,1
907,1,1
908,1,1
909,1,1
910,1,1
911,0.999459459,1
912,1,1
913,1,1
914,1,1
915,0.99972973,1
916,0.99972973,1
917,0.99972973,1
918,1,1
919,1,1
920,1,1
921,1,1
922,1,1
923,1,1
924,1,1
925,1,1
926,1,1
927,1,1
928,1,1
929,0.99972973,1
930,1,1
931,0.999459459,1
932,1,1
933,0.99972973,1
934,1,1
935,1,1
936,1,1
937,1,1
938,1,1
939,1,1
940,1,1
941,0.99972973,1
942,0.99972973,1
943,1,1
944,0.99972973,1
945,1,1
946,1,1
947,1,1
948,0.99972973,1
949,1,1
950,1,1
951,1,1
952,1,1
953,1,1
954,1,1
955,1,1
956,1,1
957,1,1
958,1,1
959,1,1
960,1,1
961,1,1
962,1,1
963,0.99972973,1
964,0.99972973,1
965,1,1
966,1,1
967,1,1
968,1,1
969,1,1
970,1,1
971,1,1
972,1,1
973,1,1
974,1,1
975,1,1
976,1,1
977,1,1
978,1,1
979,1,1
980,1,1
981,1,1
982,1,1
983,1,1
984,1,1
985,1,1
986,1,1
987,1,1
988,1,1
989,1,1
990,1,1
991,1,1
992,1,1
993,1,1
994,1,1
995,1,1
996,1,1
997,1,1
998,1,1
999,0.99972973,1
1000,1,1